Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
주민규 朱文奎 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lassana Doucouré can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Thomas  Lehne Olsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Lopera Jiménez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Humberto Escobar Ortiz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Isaac Alejandro Díaz Lobos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mauricio José Yedro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sebastián Esteban Varas Moreno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sebastián Pol can substitute for the position ls, Left striking position, which is a(n) attacker position. 
田中 順也 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Agustín Vuletich can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kristian Fardal Opseth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Flavio Ciampichetti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mario Bilate can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danilo Manuel Sacrio Dano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
豊田 陽平 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luis Erick Marleiro Neves can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabian Serrarens can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolás Vélez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nemanja Bilbija can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lyle Foster can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Camello Pérez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja Garcés Moreno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Žan Celar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristian Sleiker Cásseres Yepes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Metehan Güçlü can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tyrese Campbell can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordi Escobar Fernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joël Piroe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yusuf Mert Tunç can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Walter Ponce can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Haji Wright can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raúl José Asencio Moraes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Goduine Koyalipou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Manuel Wintzheimer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Iván Morales can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Timur Zhamaletdinov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Keinan Davis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sam Surridge can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steven Nicanor Prieto Morales can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Florian Krüger can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Argyris Kampetsis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
上田 綺世 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabian Reese can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joey Konings can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adil Taoui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Georgiy Melkadze can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oliver Rathbone can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Shkelqim Demhasaj can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Neftali Manzambi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brian Martín Pagés can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Tell can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Törles Knöll can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mender García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stephen Odey can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kemal Ademi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamie Lindsay can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stephen Humphrys can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo Vaca can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moses Opondo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Norberto Briasco can substitute for the position ls, Left striking position, which is a(n) attacker position. 
胡靖航 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Héctor Hernández Marrero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Julian Günther-Schmidt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Buenacasa Alba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
西村 拓真 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Putaro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Asier Benito Sasiain can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Romario Moise can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Claudio Morra can substitute for the position ls, Left striking position, which is a(n) attacker position. 
M'Bala Nzola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Kühlwetter can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Patrick Dear Hamilton can substitute for the position ls, Left striking position, which is a(n) attacker position. 
나상호 那尚昊 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marko Kolar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Augusto Lotti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Connor Krempicki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ahmed Abdu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sekou Gassama Cissokho can substitute for the position ls, Left striking position, which is a(n) attacker position. 
William Togui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Devante Cole can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joe Pigott can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charalampos Lykogiannis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdulrahman Al Ghamdi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rodrigo Contreras can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Valmir Sulejmani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominic Baumann can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vamara Sanogo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mo Eisa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Claudio Medina Ricoy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Julio Donisa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrija Luković can substitute for the position ls, Left striking position, which is a(n) attacker position. 
진성욱 陈成昱 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alhaji Kamara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Higinio Marín Escavy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Grégoire Lefebvre can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sinan Bakış can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bevic Moussiti-Oko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Schmidt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ricardo Jorge Silva Rodrigues can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ionuț Biceanu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Ruiz Alonso can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luis Madrigal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kayden Jackson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vincent Vermeij can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Jackson-Hamel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Castro García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Khiry Shelton can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Keshi Anderson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steffen Lie Skålevik can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francesco Margiotta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdiel Arroyo Molinar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriel Cristian Iancu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Facundo Barceló can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jesús Hernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ugo Bonnet can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Caolan Lavery can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mohammed Al Saiari can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergiu Florin Buș can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lukas Görtler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Curtis Main can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nadir Çiftçi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giacomo Beretta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ellis Harrison can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pascal Breier can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pape Sané can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eduardo Pérez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marko Simonovski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edis Ibargüen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabian Herbers can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Samir Nurković can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jay Bothroyd can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paweł Brożek can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ronny König can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Albert Bunjaku can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Olivier Occéan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adebayo Akinfenwa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamie Mackie can substitute for the position ls, Left striking position, which is a(n) attacker position. 
René Gartler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Simon Cox can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luke Varney can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdoulrazak Boukari Fafadji can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Goran Karanović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rodolfo Antonio Zelaya García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Timo Röttger can substitute for the position ls, Left striking position, which is a(n) attacker position. 
杨旭 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sascha Mölders can substitute for the position ls, Left striking position, which is a(n) attacker position. 
John Akinde can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Arnór Smárason can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paddy Madden can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mustafa Abdellaoue can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Chiedozie Obika can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yazalde  Gomes Pinto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Quincy Obina Amarikwa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lee Novak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Grzegorz Kuświk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Frank Nouble can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jake Jervis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Viktor Prodell can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dario Tadić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Issiaka Ouédraogo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Soufian Benyamina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Valencia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ahmed Issa Koro Koné can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lukas Grozurek can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patryk Tuszyński can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dimitry Imbongo Boele can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrea Tabanelli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Timmy Thiele can substitute for the position ls, Left striking position, which is a(n) attacker position. 
永井 龍 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
이광선 李光善 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hazaa Ibrahim Al Hazaa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriel Vargas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luciano Nequecaur can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Mullins can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marc Kibong Mbamba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja Lázaro Fernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Łukasz Sekulski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roque Alfredo Caballero Marecos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moses Ogbu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
石原 直樹 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
赤﨑 秀平 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hiroyuki Takasaki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Davide Djily Diaw can substitute for the position ls, Left striking position, which is a(n) attacker position. 
竹内 涼 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andri Rúnar Bjarnason can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ante Erceg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luis Alfonso Ledesma Galán can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jon Ander Pérez Ruiz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristian Cherchez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Toyofumi Sakano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Troy Parrott can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roberto Piccoli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rhian Brewster can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Willem Geubbels can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ellis Simms can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lenny Pintor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cyrill Akono can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jovan Marković can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Díaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Virgiliu Postolachi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Iker Losada Aragunde can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aaron Anthony Connolly can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Franck Evina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Muhammed Kiprit can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marco Tumminello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jens Odgaard can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alasana Manneh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Felix Agu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vitalie Damașcan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lamine Diaby Fadiga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cyril Ngonge can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oğuzhan Akgün can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Renat Dadashov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ľubomír Tupta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Moreno Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nazareno Bazan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Martín Valencia Morello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrei Lupu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Miguel Ángel Gómez López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pablo Sabbag can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Lajud Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Colorado can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gianluca Scamacca can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Gómez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brandon Hanlan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Randal Kolo-Muani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christopher Mueller can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dylan Wenzel-Halls can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mücahit Akçay can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ivann Botella can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Runar Espejord can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ragnar Ache can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Romain Basque can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lion Lauberbach can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gustavo Torres can substitute for the position ls, Left striking position, which is a(n) attacker position. 
André Ricardo Ferreira Schutte can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charles-Andreas Brym can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Samuel Obeng can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mikkel Kallesøe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Hardie can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elias Huth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abu Danladi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Malaly Dembélé can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edson Gutiérrez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jérémy Guillemenot can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rasmus Karjalainen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Hanslik can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Laros Duarte can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oswal Andrés Álvarez Salazar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Amadou Bakayoko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Phillip Tietz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brandt Bronico can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Deniz Undav can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Prince Osei Owusu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paul Ayongo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristian Neguț can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chris Long can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Boris Cmiljanić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ibrahim Sissoko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tshegofatso Mabasa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Justin Dhillon can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vlatko Stojanovski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Frans Dhia Putros can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ignacio Jáuregui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jari Oosterwijk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Romario Williams can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Paolo Yrizar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sylla Sow can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Moreno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eduardo David Espiau Hernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mihai Voduț can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominic Poleon can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marko Maletić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stefan Schimmer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Streli Mamba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rok Sirk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Kotei can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Hopper can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wesley Jobello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nils Quaschner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamal Thiaré can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gaëtan Karlen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
王上源 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Malick Evouna can substitute for the position ls, Left striking position, which is a(n) attacker position. 
罗竞 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danny Rose can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brayan Perea can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Beaulieu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jakub Vojtuš can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ángel García Cabezali can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Seifedin  Chabbi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yusuke Goto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan José Salcedo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enriko Papa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Flamur Kastrati can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mushagalusa Bakenga Joar Namugunga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wilson Antonio Cuero Llano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamie Proctor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gilbert Álvarez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Milan Jurdík can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luke Norris 'Hacker' can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Orhan Ademi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolai Brock-Madsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fernando Coniglio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Saliou Sané can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ollie Palmer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fitim Azemi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oliver Hawkins can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ruslan Babenko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yannick Mamilonne can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kohei Isa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lee Miller can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steven MacLean can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonas Borring can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Forte can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michal Papadopulos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Craig Davies can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominik Stroh-Engel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Bürger can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steven Davies can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Wordsworth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ritchie Kitoko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
배기종 裴文钟 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrew Williams can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Pope can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Reuben James Reid can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Karl Sheppard can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fredrik Brustad can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erik Israelsson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
于大宝 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jean Romaric Kevin Koffi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
John-Joe O'Toole can substitute for the position ls, Left striking position, which is a(n) attacker position. 
조동건 赵东建 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Domenico Germinale can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Clemens Walch can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Salvatore Caturano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mirko Eramo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Bowery can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juvhel Hama Tsoumou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Athanasios Papazoglou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Markus Pink can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Billy McKay can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joe Mason can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luka Tankulic can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kwesi Appiah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Bowman can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Petar Slišković can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David McMillan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stefan Payne can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Medhy Guezoui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicky Ajose can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Galin Stefanov Ivanov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Urko Vera Mateos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joseph Mendes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wilmar Jordán Gil can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Terrence Boyd can substitute for the position ls, Left striking position, which is a(n) attacker position. 
李 忠成 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adama Sarr can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Armand Gnanduillet can substitute for the position ls, Left striking position, which is a(n) attacker position. 
阿部 拓馬 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dairon Estibens Asprilla Rivas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matteo Mancosu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rüfät Dadaşov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
